month,temperature,品質情報,均質番号,beer
2012-01-01,4.8,8,1,480
2012-02-01,5.4,8,1,610
2012-03-01,8.8,8,1,810
2012-04-01,14.5,8,1,886
2012-05-01,19.6,8,1,847
2012-06-01,21.4,8,1,998
2012-07-01,26.4,8,1,1193
2012-08-01,29.1,8,1,1177
2012-09-01,26.2,8,1,810
2012-10-01,19.4,8,1,818
2012-11-01,12.7,8,1,865
2012-12-01,7.3,8,1,1317
2013-01-01,5.5,8,1,485
2013-02-01,6.2,8,1,610
2013-03-01,12.1,8,1,790
2013-04-01,15.2,8,1,847
2013-05-01,19.8,8,1,859
2013-06-01,22.9,8,1,962
2013-07-01,27.3,8,1,1236
2013-08-01,29.2,8,1,1108
2013-09-01,25.2,8,1,753
2013-10-01,19.8,8,1,813
2013-11-01,13.5,8,1,836
2013-12-01,8.3,8,1,1325
2014-01-01,6.3,8,1,499
2014-02-01,5.9,8,1,684
2014-03-01,10.4,8,1,966
2014-04-01,15.0,8,1,708
2014-05-01,20.3,8,1,851
2014-06-01,23.4,8,1,957
2014-07-01,26.8,8,1,1160
2014-08-01,27.7,8,1,1035
2014-09-01,23.2,8,1,754
2014-10-01,19.1,8,1,814
2014-11-01,14.2,8,1,808
2014-12-01,6.7,8,2,1375
2015-01-01,5.8,8,2,462
2015-02-01,5.7,8,2,645
2015-03-01,10.3,8,2,776
2015-04-01,14.5,8,2,843
2015-05-01,21.1,8,2,853
2015-06-01,22.1,8,2,958
2015-07-01,26.2,8,2,1109
2015-08-01,26.7,8,2,1037
2015-09-01,22.6,8,2,768
2015-10-01,18.4,8,2,810
2015-11-01,13.9,8,2,766
2015-12-01,9.3,8,2,1351
2016-01-01,6.1,8,2,452
2016-02-01,7.2,8,2,584
2016-03-01,10.1,8,2,750
2016-04-01,15.4,8,2,835
2016-05-01,20.2,8,2,794
2016-06-01,22.4,8,2,961
2016-07-01,25.4,8,2,1025
2016-08-01,27.1,8,2,1021
2016-09-01,24.4,8,2,748
2016-10-01,18.7,8,2,730
2016-11-01,11.4,8,2,787
2016-12-01,8.9,8,2,1313
2017-01-01,5.8,8,2,441
2017-02-01,6.9,8,2,575
2017-03-01,8.5,8,2,796
2017-04-01,14.7,8,2,784
2017-05-01,20.0,8,2,906
2017-06-01,22.0,8,2,863
2017-07-01,27.3,8,2,1026
2017-08-01,26.4,8,2,939
2017-09-01,22.8,8,2,706
2017-10-01,16.8,8,2,689
2017-11-01,11.9,8,2,770
2017-12-01,6.6,8,2,1302
2018-01-01,4.7,8,2,426
2018-02-01,5.4,8,2,640
2018-03-01,11.5,8,2,618
2018-04-01,17.0,8,2,746
2018-05-01,19.8,8,2,694
2018-06-01,22.4,8,2,882
2018-07-01,28.3,8,2,963
2018-08-01,28.1,8,2,898
2018-09-01,22.9,8,2,668
2018-10-01,19.1,8,2,661
2018-11-01,14.0,8,2,769
2018-12-01,8.3,8,2,1119
2019-01-01,5.6,8,2,440
2019-02-01,7.2,8,2,510
2019-03-01,10.6,8,2,681
2019-04-01,13.6,8,2,748
2019-05-01,20.0,8,2,667
2019-06-01,21.8,8,2,825
2019-07-01,24.1,8,2,825
2019-08-01,28.4,8,2,866
2019-09-01,25.1,8,2,751
2019-10-01,19.4,8,2,582
2019-11-01,13.1,8,2,703
2019-12-01,8.5,8,2,1050
2020-01-01,7.1,8,2,418
2020-02-01,8.3,8,2,518
2020-03-01,10.7,8,2,476
2020-04-01,12.8,8,2,347
2020-05-01,19.5,8,2,416
2020-06-01,23.2,8,2,612
2020-07-01,24.3,8,2,702
2020-08-01,29.1,8,2,611
2020-09-01,24.2,8,2,502
2020-10-01,17.5,8,2,529
2020-11-01,14.0,8,2,560
2020-12-01,7.7,8,2,827
2021-01-01,5.4,8,2,227
2021-02-01,8.5,8,2,327
2021-03-01,12.8,8,2,472
2021-04-01,15.1,8,2,552
2021-05-01,19.6,8,2,377
2021-06-01,22.7,8,2,551
2021-07-01,25.9,8,2,708
2021-08-01,27.4,8,2,455
2021-09-01,22.3,8,2,385
2021-10-01,18.2,8,2,529
2021-11-01,13.7,8,2,573
2021-12-01,7.9,8,2,925
