#  t,  x,  z,  vx,  vz
0.000000 0.000000 0.000000 17.320508 10.000000
0.010000 0.173205 0.100000 17.320508 9.902000
0.020000 0.346410 0.199020 17.320508 9.804000
0.030000 0.519615 0.297060 17.320508 9.706000
0.040000 0.692820 0.394120 17.320508 9.608000
0.050000 0.866025 0.490200 17.320508 9.510000
0.060000 1.039230 0.585300 17.320508 9.412000
0.070000 1.212436 0.679420 17.320508 9.314000
0.080000 1.385641 0.772560 17.320508 9.216000
0.090000 1.558846 0.864720 17.320508 9.118000
0.100000 1.732051 0.955900 17.320508 9.020000
0.110000 1.905256 1.046100 17.320508 8.922000
0.120000 2.078461 1.135320 17.320508 8.824000
0.130000 2.251666 1.223560 17.320508 8.726000
0.140000 2.424871 1.310820 17.320508 8.628000
0.150000 2.598076 1.397100 17.320508 8.530000
0.160000 2.771281 1.482400 17.320508 8.432000
0.170000 2.944486 1.566720 17.320508 8.334000
0.180000 3.117691 1.650060 17.320508 8.236000
0.190000 3.290897 1.732420 17.320508 8.138000
0.200000 3.464102 1.813800 17.320508 8.040000
0.210000 3.637307 1.894200 17.320508 7.942000
0.220000 3.810512 1.973620 17.320508 7.844000
0.230000 3.983717 2.052060 17.320508 7.746000
0.240000 4.156922 2.129520 17.320508 7.648000
0.250000 4.330127 2.206000 17.320508 7.550000
0.260000 4.503332 2.281500 17.320508 7.452000
0.270000 4.676537 2.356020 17.320508 7.354000
0.280000 4.849742 2.429560 17.320508 7.256000
0.290000 5.022947 2.502120 17.320508 7.158000
0.300000 5.196152 2.573700 17.320508 7.060000
0.310000 5.369358 2.644300 17.320508 6.962000
0.320000 5.542563 2.713920 17.320508 6.864000
0.330000 5.715768 2.782560 17.320508 6.766000
0.340000 5.888973 2.850220 17.320508 6.668000
0.350000 6.062178 2.916900 17.320508 6.570000
0.360000 6.235383 2.982600 17.320508 6.472000
0.370000 6.408588 3.047320 17.320508 6.374000
0.380000 6.581793 3.111060 17.320508 6.276000
0.390000 6.754998 3.173820 17.320508 6.178000
0.400000 6.928203 3.235600 17.320508 6.080000
0.410000 7.101408 3.296400 17.320508 5.982000
0.420000 7.274613 3.356220 17.320508 5.884000
0.430000 7.447818 3.415060 17.320508 5.786000
0.440000 7.621024 3.472920 17.320508 5.688000
0.450000 7.794229 3.529800 17.320508 5.590000
0.460000 7.967434 3.585700 17.320508 5.492000
0.470000 8.140639 3.640620 17.320508 5.394000
0.480000 8.313844 3.694560 17.320508 5.296000
0.490000 8.487049 3.747520 17.320508 5.198000
0.500000 8.660254 3.799500 17.320508 5.100000
0.510000 8.833459 3.850500 17.320508 5.002000
0.520000 9.006664 3.900520 17.320508 4.904000
0.530000 9.179869 3.949560 17.320508 4.806000
0.540000 9.353074 3.997620 17.320508 4.708000
0.550000 9.526279 4.044700 17.320508 4.610000
0.560000 9.699485 4.090800 17.320508 4.512000
0.570000 9.872690 4.135920 17.320508 4.414000
0.580000 10.045895 4.180060 17.320508 4.316000
